n_majorana,weight,beta,n_samples,n_strings,mean_m1,std_m1,predicted_std_m1,std_m1_over_prediction,mean_m2,sigma2_mean_over_strings,rel_std_m2,predicted_rel_std_m2,rel_std_m2_over_prediction,mean_abs_offdiag_corr,max_abs_offdiag_corr,mean_excess_kurtosis
8,4,1.0,120,70,-0.0020580856721516194,0.0123609943257053,0.012463830688441414,0.991749216969749,0.01087429528010938,0.010874295280109378,0.24196810733149846,0.1690308509457033,1.4315026279387562,0.07552895448357735,0.36158579729575274,-0.14834748496932285
10,4,1.0,120,210,-5.216301885376133e-05,0.005004538604747866,0.00502325927728464,0.9962732020181737,0.005298958091033502,0.005298958091033502,0.13897678113119408,0.09759000729485333,1.4240882338628884,0.07361733504257711,0.3792025444591904,-0.14375309296934036
12,4,1.0,120,495,5.027983358281511e-05,0.0022648314778624234,0.0023327598891498998,0.9708806673145298,0.002693675506711193,0.002693675506711193,0.08672315127033456,0.06356417261637282,1.3643401259028811,0.07341143962440509,0.3993866233736167,-0.05066530508346798
