K,diagonal_resummed_gamma_star,bare_perturbative_gamma_star,refined_envelope_gamma_star,refined_window_gamma_star,large_K_gamma_star
10,0.023080097057785198,0.051609055909423274,0.039890658566806216,0.0296138770064613,0.06541110657904053
11,0.02345811094840617,0.05266125510429066,0.041171802428944394,0.02643499442642591,0.06541110657904053
12,0.0237824258364836,0.053564921561533946,0.03920376840509868,0.03806306133680679,0.06541110657904053
13,0.024063811595329984,0.05434938145027409,0.039903322238641147,0.03263613597933615,0.06541110657904053
14,0.024309729825728654,0.055036635687133136,0.03934018615253007,0.028696226703186313,0.06541110657904053
15,0.02452623700627937,0.055643631317296306,0.03847643076885681,0.026376887577328485,0.06541110657904053
16,0.024718327928170608,0.056183627208749615,0.039272614718248076,0.034674408623526845,0.06541110657904053
17,0.024889977345699234,0.05666712391677489,0.03864613292628583,0.031066728287219226,0.06541110657904053
18,0.02504430538151666,0.057102537656386,0.037626358240481945,0.028108854269706104,0.06541110657904053
