gamma,logA1,logA2w,envelope
0.03866627131467939,-98.09933162654546,-99.84895043614043,-99.79513549333078
0.04020867365642335,-97.51738461352103,-99.31068937733599,-98.83044410903412
0.04181260261821444,-97.08723737590476,-98.77104998952558,-97.86575272473748
0.0434805125045308,-96.9010613404408,-98.23010711715588,-96.9010613404408
0.0452149555223595,-97.23456498492347,-97.68825393756268,-96.06785186754932
0.04701858568653982,-100.45375305964414,-97.1461772580909,-95.23464239465784
0.048894162880891025,-96.07761532716236,-96.6046524325325,-94.40143292176634
0.050844557081338976,-93.69789928352357,-96.06421075427552,-93.56822344887485
0.05287275274750394,-92.03867819920539,-95.52481659163551,-92.73501397598336
0.05498185338946936,-90.67495300976957,-94.98572897663736,-91.90180450309188
0.05717508631671948,-89.48583187678824,-94.4456881111537,-91.06859503020038
0.0594558075765127,-88.42107284007606,-93.90344821282211,-90.23538555730889
0.061827507089247356,-87.4564856546121,-93.35848980902422,-89.4021760844174
0.06429381398867787,-86.58045162356963,-92.81157477103135,-88.56896661152592
0.0668585021751527,-85.78907624281301,-92.26479982981627,-87.73575713863443
0.06952549609037152,-85.08476257300208,-91.721019272873,-86.90254766574293
0.0722988767224985,-84.47699253847505,-91.18281100948734,-86.06933819285146
0.07518288785082015,-83.9859580485991,-90.65134884907836,-85.23612871995996
0.0781819425395032,-83.65262119633361,-90.12556979001528,-84.40291924706847
0.08130062989038934,-83.56970977417697,-89.60199741029676,-83.56970977417697
0.08454372206515999,-84.01808703867968,-89.07554114249375,-83.56970977417697
0.08791618158761585,-87.53249602055354,-88.54135310799828,-83.56970977417697
0.09142316893724547,-83.01461956981329,-87.99719326597476,-83.56970977417697
0.09507005044570188,-80.76537007735558,-87.44506644346623,-83.56970977417697
0.098862406508271,-79.22611147473388,-86.89103396839357,-83.56970977417697
0.10280604012289651,-77.98195841784761,-86.34326645521526,-83.56970977417697
0.10690698576982734,-76.91382442762117,-85.8094283237991,-83.56970977417697
0.11117151864547524,-75.97215100634493,-85.29439922299127,-83.56970977417697
0.11560616426461243,-75.13325330323532,-84.79862412593124,-83.56970977417697
0.12021770844560202,-74.38613672872052,-84.3170265635715,-83.56970977417697
0.12501320769394036,-73.72787894946109,-83.83882218907918,-83.56970977417697
0.13,-73.16255706945101,-83.34941301931259,-83.56970977417697
