K,nmax,envelope_gamma_star
14,80,0.039340186152528975
14,120,0.03934018615253007
14,160,0.03934018615253007
16,90,0.039272614718248076
16,140,0.03927261471824878
18,90,0.037626358240481945
18,140,0.037626358241311116
