K,envelope_gamma_star,window_gamma_star,s_average_gamma_star,first_crossing_gamma_star,large_K_gamma_star
10,0.039890658566806216,0.0296138770064613,0.0789995408352344,0.033806309799472495,0.06541110657904053
11,0.041171802428944394,0.02643499442642591,0.06601180077886086,0.030557541195873176,0.06541110657904053
12,0.03920376840509868,0.03806306133680679,0.061544107308301274,0.03048061680538054,0.06541110657904053
13,0.039903322238641147,0.03263613597933615,0.07816518152510989,0.00496334008611958,0.06541110657904053
14,0.03934018615253007,0.028696226703186313,0.06849951711602908,0.0047722662454103264,0.06541110657904053
15,0.03847643076885681,0.026376887577328485,0.09089813449524135,0.006423371988279278,0.06541110657904053
16,0.039272614718248076,0.034674408623526845,0.07779025138542327,0.007583594085714406,0.06541110657904053
17,0.03864613292628583,0.031066728287219226,0.07173531483600108,0.007128184979560469,0.06541110657904053
18,0.037626358240481945,0.028108854269706104,0.008423238284818177,0.008217883442253437,0.06541110657904053
