n_majorana,weight,beta,n_samples,n_strings,mean_m1,std_m1,predicted_std_m1,std_m1_over_prediction,mean_m2,sigma2_mean_over_strings,rel_std_m2,predicted_rel_std_m2,rel_std_m2_over_prediction,mean_abs_offdiag_corr,max_abs_offdiag_corr,mean_excess_kurtosis
8,4,4.0,80,70,-0.0035650154722996798,0.03263755301966234,0.035346873252009026,0.92335049799086,0.08745810140855137,0.08745810140855137,0.3912471901038279,0.1690308509457033,2.3146495915677887,0.0944251242570583,0.389752062683955,-0.436524163275654
10,4,4.0,80,210,0.0009276550613367088,0.014855254392771815,0.01286952704950514,1.1542968390080062,0.03478119256036834,0.03478119256036834,0.22392021336967918,0.09759000729485333,2.2944994019022706,0.09218055401734844,0.46603431417672536,-0.22339371881558986
12,4,4.0,80,495,-0.0010596641875908826,0.0052281631028508755,0.0053703288719059855,0.9735275487877796,0.014276013935251372,0.014276013935251372,0.17041675973763024,0.06356417261637282,2.6810190823397018,0.0909779201565783,0.4832908080779786,-0.06338124190229416
