n_majorana,weight,beta,n_samples,n_strings,mean_m1,std_m1,predicted_std_m1,std_m1_over_prediction,mean_m2,sigma2_mean_over_strings,rel_std_m2,predicted_rel_std_m2,rel_std_m2_over_prediction,mean_abs_offdiag_corr,max_abs_offdiag_corr,mean_excess_kurtosis
8,4,1.0,1000,70,-0.00011986097902595282,0.012074155633491845,0.012473918651497424,0.9679520903435113,0.010891905256692274,0.010891905256692274,0.257489188356909,0.1690308509457033,1.5233265816050383,0.02587013859870195,0.11999569148492609,-0.08494554144548062
10,4,1.0,1000,210,-1.9106058380979938e-05,0.004992478061862861,0.004986225376029721,1.001253991819784,0.005221113135118171,0.005221113135118173,0.15282787994973226,0.09759000729485333,1.5660197615108904,0.025672376585239957,0.1392430766697111,-0.03263564383584062
12,4,1.0,1000,495,2.6596379169347972e-05,0.0024082172824976904,0.0023387677567064977,1.0296949218630382,0.0027075681368059217,0.0027075681368059217,0.08959906274075462,0.06356417261637282,1.40958434685384,0.02530197636430609,0.15154844241262802,-0.01596257815006622
14,4,1.0,1000,1001,1.1718799453974966e-05,0.001257015539755191,0.0012411414974829594,1.0127898731163403,0.0015419726489910174,0.0015419726489910171,0.05964097573353261,0.04469901562676742,1.3342793996075697,0.025280286063078587,0.15298171379452055,-0.013686442911259603
16,4,1.0,1000,1820,-2.487831177917482e-05,0.0006950265680300943,0.0007203762046719473,0.9648105580425204,0.0009444742147887579,0.0009444742147887579,0.04267874671410739,0.033149677206589796,1.2874558762105628,0.02527020197267843,0.15444314464947184,-0.009657668499957
18,4,1.0,1000,3060,2.5282149902006772e-05,0.00045665211040288404,0.0004478480875778694,1.0196585026691307,0.0006137378032142942,0.0006137378032142943,0.030307238029009066,0.02556549962824568,1.1854741143225906,0.02524018672308521,0.1577130535347275,-0.008678263155218855
