K,gamma,exact_log_ratio,perturbative_log_ratio
1,0.0001,9.040571652279862,9.05222961999287
1,0.0001102002906587192,8.845177371767,8.857980162234718
1,0.00012144104061266207,8.64967784847443,8.66373268525863
1,0.00013382837973412683,8.454064633397362,8.469487613710406
1,0.00014747926345086223,8.258328910684058,8.275245463258464
1,0.00016252257698418858,8.062461567778698,8.081006860097736
1,0.00017910035222261646,7.866453296170645,7.886772564629622
1,0.0001973691087201132,7.670294730984585,7.692543500210537
1,0.00021750133148008824,7.4739766395873275,7.498320788051791
1,0.00023968709947764182,7.277490171752323,7.304105789583684
1,0.00026413588029581474,7.080827186795057,7.1099001578753676
1,0.00029107850781995444,6.8839806765648905,6.915705900039024
1,0.0003207693616626528,6.6869453073530565,6.72152545295432
1,0.00035348876889636157,6.489718108761204,6.527361775140739
1,0.00038954565076971864,6.292299343470432,6.333218458198245
1,0.0004292804393966292,6.0946935987412925,6.1390998619503865
1,0.00047306829195611276,5.896911148396134,5.945011278281182
1,0.0005213226327498746,5.698969642931919,5.75095912968451
1,0.0005744990565600491,5.500896195074876,5.556951209772179
1,0.0006330996301607743,5.302729938048449,5.362996974447976
1,0.0006976776325964496,5.104525143202979,5.169107894185872
1,0.0007688427789821585,4.90635499094782,4.975297879889087
1,0.0008472669771469127,4.708316091706063,4.78158379718939
1,0.0009336906714712427,4.5105338481472845,4.58798608680377
1,0.0010289298338146565,4.3131687307371465,4.394529511717188
1,0.001133883667538029,4.116423497910246,4.201244055500285
1,0.0012495430973586534,3.920551319545856,4.008165999954933
1,0.0013770001251951986,3.725864644990761,3.815339214398163
1,0.001517458140336036,3.532744480239698,3.622816693037149
1,0.0016722432812747068,3.3416494900804032,3.430662380694246
1,0.001842816956485632,3.1531240143403654,3.238953330033932
1,0.0020307896423553294,2.9678036943400112,3.047782234535423
1,0.0022379360885427394,2.7864169891858044,2.857260379434627
1,0.0024662120743304703,2.609780512224946,2.6675210458554837
1,0.002717772874172606,2.4387859853384253,2.478723388785823
1,0.0029949936067820387,2.27437689386025,2.291056784020026
1,0.0033004916598838646,2.1175138364299286,2.104745598412016
1,0.003637151402358808,1.9691292246507555,1.920054276759294
1,0.004008151417097093,1.830074302423471,1.7372925521626454
1,0.004416994511682568,1.7010640002558013,1.5568204704699968
1,0.004867540790253865,1.5826271674550423,1.379052772016618
1,0.005364044098791477,1.4750703703676482,1.2044619999730322
1,0.005911192187930082,1.3784621169937754,1.0335795192284785
1,0.00651415097249446,1.2926411382250773,0.8669934631606195
1,0.007178613305636679,1.2172480722461057,0.7053425272888696
1,0.007910852728077117,1.1517758844518458,0.5493045669560597
1,0.0087177826999242,1.0956318225391701,0.39957920917926737
1,0.009607021874312009,1.0482032402222572,0.2568642235505574
1,0.010586966029138566,1.008921033887578,0.12182623405803872
1,0.011666867336050574,0.9773170082466542,-0.004932573760727754
1,0.012856921715094902,0.9530744018071093,-0.12290896964227171
1,0.014168365099798567,0.936073488301929,-0.23173074442000807
1,0.015613579521566553,0.9264364470869086,-0.33118230756890177
1,0.017206210014996618,0.9245777645118824,-0.4212202432540505
1,0.018961293447875924,0.93126881012663,-0.5019765076601999
1,0.020895400492211946,0.9477287840687652,-0.5737487783064195
1,0.023026792076721033,0.9757603628314353,-0.6369794188131914
1,0.0253755917979255,1.0179596413442944,-0.6922261061035151
1,0.02796397591768401,1.078051573948187,-0.7401280244046013
1,0.03081638274102205,1.161445609258072,-0.7813715568591908
1,0.03395974335110968,1.2761997098375844,-0.8166587454443335
1,0.037423735879877934,1.4348002288309374,-0.8466807377461703
1,0.04124106571497687,1.6577421418198526,-0.8720973100368017
1,0.04544777428865795,1.9816683130547208,-0.893522587868995
1,0.050083579364019706,2.48164547068413,-0.9115163997857391
1,0.05519225003144003,3.3547701798864153,-0.9265803143329358
1,0.06082201995573401,5.582795586030157,-0.9391572762942647
1,0.06702604277572308,4.832921760428832,-0.9496337986526118
1,0.07386289395588429,2.665517129934429,-0.9583438071710978
1,0.08139712382832602,1.5687924741701273,-0.9655734155165399
1,0.08969986704665296,0.8431172593466396,-0.9715660911202786
1,0.09884951420589624,0.3294273444855236,-0.9765278335423268
1,0.10893245196962958,-0.038339088905550156,-0.9806321188094985
1,0.12004387869220161,-0.2995803326392945,-0.9840244639225942
1,0.13228870323680647,-0.4830850912192268,-0.9868265386635667
1,0.14578253547561118,-0.610968792878734,-0.9891398019328375
1,0.16065277782377413,-0.6998138697191623,-0.9910486723065657
1,0.17703982811310548,-0.7615739411580655,-0.9926232619928789
1,0.1950984051623391,-0.8045964391693303,-0.9939217137243601
