K,nmax,gamma,log_A1_over_factorial,log_A2_weighted_over_factorial,log_weighted_ratio
10,220,0.0021461732154375414,-100.38949406287213,-86.96777640469134,13.421717658180796
10,220,0.0021980081306294166,-99.88445730867723,-86.88593884530651,12.998518463370715
10,220,0.002251094975727796,-99.38023992461677,-86.80269885294544,12.577541071671334
10,220,0.002305463987658605,-98.8768931733656,-86.71804203247865,12.158851140886952
10,220,0.0023611461336375994,-105.34314785086221,-86.63230311726463,18.710844733597582
10,220,0.0024181731288085238,-97.87313386835028,-86.54440578970043,11.328728078649846
10,220,0.0024765774543072496,-104.9841333547184,-86.45610760477746,18.528025749940937
10,220,0.002536392375762203,-104.93176886342057,-86.36588110878665,18.56588775463392
10,220,0.0025976519622416426,-103.2307985812636,-86.27423418058001,16.95656440068359
10,220,0.0026603911056585204,-103.01946241987547,-86.18114965403731,16.838312765838154
10,220,0.002724645540644053,-102.87282895233,-86.08662680530058,16.786202147029414
10,220,0.0027904518649012554,-102.82504302088275,-85.99066024713252,16.83438277375022
10,220,0.0028578475600500607,-102.9398124455957,-85.89324498131629,17.04656746427942
10,220,0.0029268710129759217,-103.3792524888155,-85.794376204742,17.584876284073502
10,220,0.0029975615376939997,-101.12448508608402,-85.69404476409206,15.430440321991966
10,220,0.0030699593977414293,-100.58282582099591,-85.59225248128634,14.99057333970957
10,220,0.003144105829110427,-100.04457843292377,-85.48899284511303,14.55558558781074
10,220,0.003220043063735263,-99.51086456768549,-85.38426168039217,14.126602887293316
10,220,0.0032978143535464946,-98.98155403304321,-85.27805505298765,13.703498980055556
10,220,0.003377463995106196,-98.45710416009977,-85.17036898490149,13.286735175198288
10,220,0.0034590373548381327,-101.77915947901967,-85.06125217362495,16.717907305394718
10,220,0.0035425808948673573,-101.11506012212327,-84.95061771774802,16.16444240437525
10,220,0.0036281421994838487,-100.45735026933718,-84.83850013148249,15.618850137854693
10,220,0.0037157700022453144,-99.80577250930754,-84.72489755907742,15.080874950230125
10,220,0.0038055142137346154,-99.16012602028073,-84.609808345824,14.550317674456721
10,220,0.003897425949987547,-98.57312430382055,-84.49323117017882,14.079893133641733
10,220,0.003991557561607266,-103.50050287162621,-84.3751836481268,19.125319223499417
10,220,0.004087962663581861,-102.60543523244925,-84.25563685931472,18.349798373134533
10,220,0.004186696165822084,-101.74223050399274,-84.13460304844335,17.60762745554939
