n,seed,m_components,initial_l2,initial_l4,equal_component_lower_bound,best_min_l4,best_max_l4,min_ratio,max_ratio,lower_bound_ratio,min_to_lower_bound,max_to_lower_bound
8,17999,70,73.63800757688826,200.99119294865278,77.4650879984836,114.62949838280191,984.8496905308307,0.5703210011400167,4.899964401835409,0.3854153351797539,1.479756898811576,12.713465071518533
8,18000,70,64.16798117331655,150.67047880581694,58.82185439798724,80.13080973005594,986.064093181637,0.5318282012850571,6.544507596955801,0.3904006601969881,1.3622625561563027,16.76356693058249
8,18001,70,75.92734773858682,219.6383277097722,82.35660192308978,117.61998585272872,1132.8066838435211,0.5355166699691437,5.157600204188406,0.3749646192531339,1.4281792000423996,13.754898300702271
8,18002,70,59.66907707520135,127.5389229631129,50.86283941437599,71.27532472821036,562.0940503643936,0.5588515495683211,4.407235354551048,0.3988024850193118,1.40132414054857,11.0511732501808
10,19999,210,202.7563661893593,613.060005701182,195.7625906205408,323.6236506417906,2892.2053464414985,0.5278825035595804,4.717654584453872,0.319320439761258,1.653143481683337,14.774045119006653
10,20000,210,210.9633255264319,664.5575791318181,211.93107008176798,350.33327900022573,3752.1939526654705,0.5271676826828207,5.646153276240351,0.318905504559343,1.6530529424735076,17.70478463218152
10,20001,210,183.16380362564425,443.0942077511383,159.7570426600646,246.21058606158857,2010.6871015110826,0.5556619376976184,4.537832059949597,0.3605487046894356,1.541156383230517,12.585905873267055
10,20002,210,205.7627091866481,545.7036604157348,201.6109166277577,321.33737779357574,2094.356344183561,0.5888495920089127,3.8379004872131737,0.3694512814412202,1.5938490988901846,10.388109826664074
